model,ablation,seed,station,in_domain,n_windows,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
XAI-MeteoFormer,no_revin,0,Wanliu,False,6895,4.1361494064331055,8.096718788146973,2.147284507751465,2.799337863922119,11.45793628692627,15.599934577941896,2.3201308250427246,3.214278221130371,0.6192471385002136,0.8376142382621765
XAI-MeteoFormer,no_revin,0,Wanshouxigong,False,6895,4.201128005981445,8.285212516784668,2.0620131492614746,2.6907052993774414,11.78976058959961,16.011005401611328,2.2854247093200684,3.179044485092163,0.6673189997673035,0.9383891820907592
XAI-MeteoFormer,no_revin,1,Aotizhongxin,True,6895,4.188346862792969,8.236848831176758,2.071371793746948,2.629425048828125,11.774564743041992,15.934843063354492,2.245107889175415,3.1081314086914062,0.662341296672821,0.9429863095283508
XAI-MeteoFormer,no_revin,1,Changping,False,6895,4.021790981292725,7.804684638977051,2.027231931686402,2.6078124046325684,10.935973167419434,14.999885559082031,2.433898448944092,3.2943472862243652,0.6900572776794434,1.0012351274490356
XAI-MeteoFormer,no_revin,1,Dingling,False,6895,4.024198532104492,7.817281246185303,2.0274806022644043,2.6154770851135254,10.93762493133545,15.02346897125244,2.4402358531951904,3.2998223304748535,0.6914510726928711,1.0026752948760986
XAI-MeteoFormer,no_revin,1,Dongsi,False,6895,4.202981948852539,8.269632339477539,2.0730385780334473,2.6284377574920654,11.82502555847168,16.0018367767334,2.251951217651367,3.113189697265625,0.661910891532898,0.9422744512557985
XAI-MeteoFormer,no_revin,1,Guanyuan,False,6895,4.208740234375,8.281455993652344,2.083848476409912,2.640080213546753,11.839707374572754,16.024839401245117,2.2491629123687744,3.1107494831085205,0.6622411608695984,0.9422382712364196
XAI-MeteoFormer,no_revin,1,Gucheng,False,6895,4.154762268066406,8.085174560546875,2.0622308254241943,2.6490747928619385,11.3666410446167,15.564528465270996,2.399392604827881,3.287247657775879,0.7907857894897461,1.1840909719467163
XAI-MeteoFormer,no_revin,1,Huairou,False,6895,4.124278545379639,8.119065284729004,2.0608184337615967,2.652270793914795,11.325477600097656,15.647785186767578,2.4213342666625977,3.281834363937378,0.689482569694519,1.0093879699707031
XAI-MeteoFormer,no_revin,1,Nongzhanguan,False,6895,4.205915451049805,8.268945693969727,2.0804295539855957,2.6356184482574463,11.833173751831056,16.000276565551758,2.2478034496307373,3.107597589492798,0.6622557044029236,0.9430460929870604
XAI-MeteoFormer,no_revin,1,Shunyi,False,6895,4.06642484664917,7.993984699249268,1.96222186088562,2.530524730682373,11.333012580871582,15.436541557312012,2.2674882411956787,3.140650510787964,0.7029825448989868,1.0301436185836792
XAI-MeteoFormer,no_revin,1,Tiantan,False,6895,4.21037483215332,8.290464401245117,2.082278251647949,2.6384592056274414,11.847359657287598,16.04335594177246,2.2487311363220215,3.1123158931732178,0.6631292104721069,0.9434025883674622
XAI-MeteoFormer,no_revin,1,Wanliu,False,6895,4.119626998901367,8.057795524597168,2.1061580181121826,2.6962571144104004,11.481205940246582,15.551222801208496,2.276698112487793,3.1455981731414795,0.6144444346427917,0.840920090675354
XAI-MeteoFormer,no_revin,1,Wanshouxigong,False,6895,4.218081951141357,8.31292724609375,2.078361988067627,2.6378750801086426,11.878828048706056,16.090078353881836,2.2513906955718994,3.111098289489746,0.6637470126152039,0.9439874887466432
XAI-MeteoFormer,no_revin,2,Aotizhongxin,True,6895,4.1526641845703125,8.19658374786377,2.0221002101898193,2.6380209922790527,11.709672927856444,15.849165916442873,2.2198686599731445,3.1137187480926514,0.6590189337730408,0.9409759640693665
XAI-MeteoFormer,no_revin,2,Changping,False,6895,3.946725368499756,7.735019683837891,2.09709095954895,2.739089012145996,10.770108222961426,14.863994598388672,2.2415127754211426,3.144136428833008,0.6781907081604004,0.9977946281433104
XAI-MeteoFormer,no_revin,2,Dingling,False,6895,3.940685749053955,7.771522521972656,2.0710394382476807,2.716428279876709,10.791914939880373,14.946962356567385,2.2213454246520996,3.1295948028564453,0.6784439086914062,1.0005947351455688
