dataset,loss,channel,baseline,mean_diff,DM,p_raw,lag,p_holm
jena,abs,WS,TimesNet,-0.02759235220337266,-5.336537164164181,9.622494268057835e-08,11,1.924498853611567e-07
jena,abs,agg,Transformer,-0.4245997756928355,-27.361439179737925,0.0,11,0.0
jena,abs,T,Transformer,-0.8448774863063314,-22.135568148327334,0.0,11,0.0
jena,abs,RH,Transformer,-0.3222114296364494,-9.262240061770473,0.0,11,0.0
jena,abs,P,Transformer,-0.5136614787705437,-19.17150394491071,0.0,11,0.0
jena,abs,WS,Transformer,-0.017648708058017413,-5.915421934426914,3.3880105387851245e-09,11,1.0164031616355373e-08
jena,abs,agg,iTransformer,-0.2700252694556364,-13.827680230773236,0.0,11,0.0
jena,abs,T,iTransformer,-0.37817318917975506,-12.026762597687398,0.0,11,0.0
jena,abs,RH,iTransformer,-0.3419538568986386,-6.032673567623667,1.653614134511372e-09,11,3.307228269022744e-09
jena,abs,P,iTransformer,-0.29059793272796475,-10.468858997984295,0.0,11,0.0
jena,abs,WS,iTransformer,-0.06937609901618705,-9.700916479985855,0.0,11,0.0
jena,sq,agg,Autoformer,-11.57973553349814,-24.098471170113392,0.0,11,0.0
jena,sq,T,Autoformer,-6.8173377444498495,-23.94705026419339,0.0,11,0.0
jena,sq,RH,Autoformer,-25.370163166310988,-14.861241157163887,0.0,11,0.0
jena,sq,P,Autoformer,-13.839768661672737,-21.271325421319666,0.0,11,0.0
jena,sq,WS,Autoformer,-0.29167256155898263,-11.598149608567264,0.0,11,0.0
jena,sq,agg,Crossformer,1.0513115930058787,5.239451522407216,1.6340710118356583e-07,11,1.6340710118356583e-07
jena,sq,T,Crossformer,-3.5250253233182316,-16.02144084206821,0.0,11,0.0
jena,sq,RH,Crossformer,7.517055507047485,10.135766918346784,0.0,11,0.0
jena,sq,P,Crossformer,0.19513895254739616,1.4037746015760733,0.16040830851132437,11,0.16040830851132437
jena,sq,WS,Crossformer,0.018077235746865206,2.2139370737240625,0.026849268636169654,11,0.05369853727233931
jena,sq,agg,DLinear,-5.418146237472984,-10.79747257276296,0.0,11,0.0
jena,sq,T,DLinear,-1.2925374578797433,-7.3094055209294915,2.828848266744899e-13,11,2.828848266744899e-13
jena,sq,RH,DLinear,-13.580029849035714,-7.349509588990706,2.1005419625907962e-13,11,1.5241141682054149e-12
jena,sq,P,DLinear,-6.595437777501095,-12.157409243996664,0.0,11,0.0
jena,sq,WS,DLinear,-0.20457986547537832,-6.316384463987054,2.7590152384959765e-10,11,1.655409143097586e-09
jena,sq,agg,Informer,-3.9770189310454462,-14.587487099515588,0.0,11,0.0
jena,sq,T,Informer,-6.844400646318097,-21.803523696177695,0.0,11,0.0
jena,sq,RH,Informer,-5.959565900814091,-6.324948654600352,2.6106694583916124e-10,11,1.3053347291958062e-09
jena,sq,P,Informer,-3.0924852169072192,-13.191313872861466,0.0,11,0.0
jena,sq,WS,Informer,-0.011623960142376268,-1.188253603101697,0.23475380254589417,11,0.23475380254589417
jena,sq,agg,LSTM,-3.167851849820145,-9.034891557625686,0.0,11,0.0
jena,sq,T,LSTM,-3.379701408081464,-14.146419490172475,0.0,11,0.0
jena,sq,RH,LSTM,-6.684223571623201,-5.149138139255088,2.6525862129034294e-07,11,1.0610344851613718e-06
jena,sq,P,LSTM,-2.479759045107204,-9.069591271651303,0.0,11,0.0
jena,sq,WS,LSTM,-0.12772337446871385,-6.486392427331332,9.088862995554337e-11,11,6.362204096888036e-10
jena,sq,agg,PatchTST,-4.013615780395051,-9.181576574927725,0.0,11,0.0
jena,sq,T,PatchTST,-2.83178673835532,-12.597719387894362,0.0,11,0.0
jena,sq,RH,PatchTST,-11.415449721061472,-6.828459421793129,8.939293749676835e-12,11,5.363576249806101e-11
jena,sq,P,PatchTST,-1.6461861021821063,-6.530752188749671,6.771361249491292e-11,11,1.3542722498982585e-10
jena,sq,WS,PatchTST,-0.16104055998130837,-7.65978447630106,1.9984014443252818e-14,11,1.5987211554602254e-13
jena,sq,agg,TFT,-3.0798509845468227,-9.520581785955688,0.0,11,0.0
jena,sq,T,TFT,-3.7031099196860127,-15.99932075234054,0.0,11,0.0
jena,sq,RH,TFT,-5.086168743850318,-4.200641683151931,2.6781866180547453e-05,11,5.356373236109491e-05
jena,sq,P,TFT,-3.444397174527974,-13.067114446369338,0.0,11,0.0
jena,sq,WS,TFT,-0.08572810012298646,-5.2787770206458955,1.320047233743793e-07,11,6.600236168718965e-07
jena,sq,agg,TimesNet,-2.114666013441613,-6.354326566356886,2.1586510356996769e-10,11,4.3173020713993537e-10
jena,sq,T,TimesNet,-3.059958735789331,-13.55140740928784,0.0,11,0.0
jena,sq,RH,TimesNet,-2.5273716167511067,-2.0538332125517784,0.040010491437269646,11,0.040010491437269646
jena,sq,P,TimesNet,-2.774740844103686,-9.307374464189625,0.0,11,0.0
jena,sq,WS,TimesNet,-0.09659285712232556,-5.041226203599464,4.683745316036436e-07,11,1.8734981264145745e-06
