model,dataset,ablation,seed,missing_rate,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
LSTM,jena,full_normoff,3,0.2,2782,5,3.359553575515747,5.425617218017578,2.7669014930725098,3.3787670135498047,7.347950458526611,9.64854335784912,2.453798770904541,3.4286887645721436,0.8695642352104187,1.217759609222412
LSTM,jena,full_normoff,4,0.0,2782,5,3.252828359603882,5.363063812255859,2.5806760787963867,3.215794801712036,7.231050968170166,9.60234546661377,2.3402206897735596,3.3211212158203125,0.859365701675415,1.21392023563385
LSTM,jena,full_normoff,4,0.05,2782,5,3.254493474960327,5.364021301269531,2.5809011459350586,3.216391086578369,7.234007358551025,9.602705001831056,2.343475818634033,3.3256847858428955,0.859588086605072,1.2139205932617188
LSTM,jena,full_normoff,4,0.1,2782,5,3.2565250396728516,5.365945339202881,2.580578565597534,3.2152457237243652,7.239578723907471,9.606779098510742,2.3458139896392822,3.3273026943206787,0.8601319193840027,1.2142972946166992
LSTM,jena,full_normoff,4,0.2,2782,5,3.261486530303955,5.3716020584106445,2.5813307762145996,3.2160913944244385,7.250123500823975,9.61480712890625,2.353121519088745,3.3394687175750732,0.8613712787628174,1.215165376663208
Autoformer,beijing_aotizhongxin,full_normon,0,0.0,3448,2,5.189269065856934,9.154413223266602,2.9817869663238525,3.8295786380767822,13.20908546447754,17.142602920532227,3.865797519683838,5.065662860870361,0.7004048228263855,1.0088108777999878
Autoformer,beijing_aotizhongxin,full_normon,0,0.05,3448,2,5.189194202423096,9.154223442077637,2.97778058052063,3.824460029602051,13.214548110961914,17.143524169921875,3.863795280456543,5.06499719619751,0.7006518244743347,1.0090121030807495
Autoformer,beijing_aotizhongxin,full_normon,0,0.1,3448,2,5.192788124084473,9.15849781036377,2.9742236137390137,3.8211936950683594,13.234046936035156,17.15372657775879,3.8618359565734863,5.063716888427734,0.7010451555252075,1.00959575176239
Autoformer,beijing_aotizhongxin,full_normon,0,0.2,3448,2,5.199446201324463,9.170900344848633,2.961761236190796,3.808120250701904,13.272923469543455,17.183753967285156,3.8602311611175537,5.061066150665283,0.7028681039810181,1.0119346380233765
Autoformer,beijing_aotizhongxin,full_normon,1,0.0,3448,2,5.480274200439453,9.62252426147461,3.1678285598754883,4.066319465637207,13.923517227172852,18.001934051513672,4.106800556182861,5.356914043426514,0.7229490280151367,1.0348316431045532
Autoformer,beijing_aotizhongxin,full_normon,1,0.05,3448,2,5.479885101318359,9.621736526489258,3.1640031337738037,4.060962200164795,13.925928115844728,18.001535415649414,4.106539726257324,5.35659122467041,0.72306889295578,1.0351308584213257
Autoformer,beijing_aotizhongxin,full_normon,1,0.1,3448,2,5.480793476104736,9.6251859664917,3.160287380218506,4.056921482086182,13.933311462402344,18.009788513183594,4.106494426727295,5.356727123260498,0.7230823040008545,1.0349762439727783
