dataset,model,ablation,suffix,seed,base_mae,det_gain_occl,det_gain_occl_rel,det_gain_shap,det_gain_shap_rel,det_agree_shap_occl_rho,det_gain_attn,det_gain_attn_rel,det_agree_attn_shap_rho,det_agree_attn_occl_rho
beijing_aotizhongxin,Crossformer,full,,4,0.2914514,0.04949648084850716,0.16982757,0.04530882415162133,0.15545928,0.7098901098901099,,,,
beijing_aotizhongxin,DLinear,full,,0,0.31771222,0.059544041517656285,0.18741502,0.04540702300844714,0.14291872,0.7598089147705227,,,,
beijing_aotizhongxin,DLinear,full,,1,0.31730476,0.05988220609458429,0.18872142,0.045684019343129226,0.14397521,0.7598089147705227,,,,
beijing_aotizhongxin,DLinear,full,,2,0.31580812,0.06037774673929173,0.19118491,0.04567200812777239,0.14461948,0.7598089147705227,,,,
beijing_aotizhongxin,DLinear,full,,3,0.31625438,0.06015779557438302,0.19021964,0.04559401747571039,0.14416881,0.7598089147705227,,,,
beijing_aotizhongxin,DLinear,full,,4,0.31567383,0.060268043977474525,0.19091873,0.045660408501779395,0.14464428,0.7598089147705227,,,,
beijing_aotizhongxin,Informer,full,,0,0.34747642,0.028637421850913336,0.08241544,0.024244622022711805,0.06977343,0.4901098901098901,,,,
beijing_aotizhongxin,Informer,full,,1,0.32420036,0.02472392184593316,0.07626124,0.01930491061814662,0.059546236,0.6175824175824175,,,,
beijing_aotizhongxin,Informer,full,,2,0.3497989,0.018873261324063473,0.053954605,0.012927636540428333,0.03695734,0.3362637362637363,,,,
beijing_aotizhongxin,Informer,full,,3,0.34222648,0.02639929780038074,0.07713985,0.022782753661740575,0.06657215,0.6263736263736264,,,,
beijing_aotizhongxin,Informer,full,,4,0.3691545,0.025523748578769833,0.0691411,0.016716097066445022,0.045282114,0.45494505494505494,,,,
beijing_aotizhongxin,LSTM,full,,0,0.32033366,0.05337754791868583,0.16663109,0.031046356133052268,0.09691881,0.7758241758241758,,,,
beijing_aotizhongxin,LSTM,full,,1,0.33308223,0.052044535066067654,0.15625131,0.023339463426798056,0.070071176,0.5868131868131868,,,,
beijing_aotizhongxin,LSTM,full,,2,0.3240834,0.05606203247260834,0.17298643,0.020714938532827153,0.063918546,0.5032967032967033,,,,
beijing_aotizhongxin,LSTM,full,,3,0.32233536,0.05595508821275351,0.17359278,0.023136386014188503,0.07177737,0.6747252747252748,,,,
beijing_aotizhongxin,LSTM,full,,4,0.33041266,0.054291728598597856,0.16431493,0.023777470154288625,0.07196295,0.5956043956043956,,,,
beijing_aotizhongxin,PatchTST,full,,0,0.3196565,0.05674984592578507,0.17753385,0.05098412247008778,0.15949659,0.9862068965517239,,,,
beijing_aotizhongxin,PatchTST,full,,1,0.31809872,0.057082222062163054,0.17944813,0.04455041482578963,0.14005217,0.9655172413793103,,,,
beijing_aotizhongxin,PatchTST,full,,2,0.323559,0.05526069373624133,0.17079018,0.05149808161692428,0.15916134,0.9862068965517239,,,,
beijing_aotizhongxin,PatchTST,full,,3,0.32723117,0.05519999705421339,0.16868807,0.054840432779663904,0.16758928,0.9931034482758619,,,,
beijing_aotizhongxin,PatchTST,full,,4,0.31561,0.05843777582415246,0.1851582,0.05236352466412686,0.16591214,0.9862068965517239,,,,
beijing_aotizhongxin,TFT,full,,0,0.32644138,0.03370122397750883,0.10323821,0.029935062680992174,0.09170119,0.6835164835164835,,,,
