model,dataset,ablation,seed,variant,block_len,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
TFT,jena,full,2,A_end,16,2782,5,5.640681266784668,9.02996063232422,3.976034164428711,5.024035930633545,12.758130073547363,16.140575408935547,4.684213638305664,6.153249740600586,1.1443452835083008,1.5934721231460571
TFT,jena,full,2,B_start,16,2782,5,3.4836699962615967,5.6942949295043945,2.594679117202759,3.296998977661133,7.754817008972168,10.158173561096191,2.7055916786193848,3.750535011291504,0.8795913457870483,1.2549002170562744
TFT,jena,full,3,none,16,2782,5,3.305576801300049,5.52817964553833,2.281240463256836,2.93652606010437,7.669412136077881,10.025212287902832,2.3988423347473145,3.3961784839630127,0.8728115558624268,1.2573647499084473
TFT,jena,full,3,A_end,16,2782,5,5.838768482208252,9.606485366821287,4.047407627105713,5.182779788970947,13.563797950744627,17.41753578186035,4.609773635864258,6.034148216247559,1.134095311164856,1.5797184705734253
TFT,jena,full,3,B_start,16,2782,5,3.357604742050171,5.622750759124756,2.31353497505188,2.987571954727173,7.804154396057129,10.205448150634766,2.428833484649658,3.431105852127075,0.8838942050933838,1.269655704498291
TFT,jena,full,4,none,16,2782,5,3.44734263420105,5.614268779754639,2.408172369003296,3.082911252975464,7.577818870544434,9.961606979370115,2.9226062297821045,3.9724841117858887,0.8807739615440369,1.2495793104171753
TFT,jena,full,4,A_end,16,2782,5,6.36573600769043,10.684005737304688,4.1746296882629395,5.284401893615723,15.431201934814451,19.721174240112305,4.622081756591797,6.074949264526367,1.2350302934646606,1.6844559907913208
TFT,jena,full,4,B_start,16,2782,5,3.5415499210357666,5.785768508911133,2.4368255138397217,3.1293625831604004,7.883173942565918,10.31397533416748,2.954336643218994,4.016437530517578,0.8918660283088684,1.26399028301239
TimesNet,jena,full,0,none,16,2782,5,3.2943925857543945,5.439698696136475,2.3863322734832764,3.0285518169403076,7.43040657043457,9.764768600463867,2.484217882156372,3.5056910514831543,0.8766125440597534,1.2444298267364502
TimesNet,jena,full,0,A_end,16,2782,5,5.129449844360352,8.151616096496582,3.551203966140747,4.510623455047607,11.200780868530272,14.333026885986328,4.6664605140686035,6.135435581207275,1.0993528366088867,1.5396074056625366
TimesNet,jena,full,0,B_start,16,2782,5,3.3650014400482178,5.55466365814209,2.5250720977783203,3.1980488300323486,7.565531253814697,9.963470458984377,2.482792854309082,3.5106728076934814,0.8866089582443237,1.2625690698623655
TimesNet,jena,full,1,none,16,2782,5,3.321784734725952,5.480993270874023,2.3907153606414795,3.05452036857605,7.490447998046875,9.830573081970217,2.5299861431121826,3.5545825958251953,0.8759891390800476,1.2489322423934937
TimesNet,jena,full,1,A_end,16,2782,5,5.061067581176758,7.958582401275635,3.5861496925354004,4.5450944900512695,10.833847045898438,13.872511863708496,4.691115379333496,6.1451945304870605,1.133158564567566,1.5774343013763428
TimesNet,jena,full,1,B_start,16,2782,5,3.386579751968384,5.595522880554199,2.4121265411376953,3.1010916233062744,7.688775062561035,10.05885887145996,2.5540878772735596,3.5838773250579834,0.8913297653198242,1.264082670211792
TimesNet,jena,full,2,none,16,2782,5,3.3003146648406982,5.475086688995361,2.387582778930664,3.059614896774292,7.403083801269531,9.813632011413574,2.5389411449432373,3.5578885078430176,0.8716514110565186,1.2566194534301758
TimesNet,jena,full,2,A_end,16,2782,5,4.944954872131348,7.835331916809082,3.430112361907959,4.357718467712402,10.685544967651367,13.718213081359863,4.570899963378906,6.000457763671875,1.0932663679122925,1.5443965196609497
TimesNet,jena,full,2,B_start,16,2782,5,3.385730028152466,5.622869968414307,2.445971727371216,3.1443793773651123,7.649881839752197,10.104876518249512,2.5642104148864746,3.58544659614563,0.882856011390686,1.2710561752319336
TimesNet,jena,full,3,none,16,2782,5,3.3194990158081055,5.456386089324951,2.4727487564086914,3.155827760696411,7.364551067352295,9.718637466430664,2.5585057735443115,3.620728731155395,0.8821921348571777,1.2521051168441772
TimesNet,jena,full,3,A_end,16,2782,5,5.059109687805176,7.9453630447387695,3.643146276473999,4.616952419281006,10.809499740600586,13.799882888793944,4.695814609527588,6.19985818862915,1.0879826545715332,1.52444589138031
